smiles,name
CCO,ethanol
CCCl,chloroethane
CCOCC,diethyl ether
O,water
NCC(=O)O,glycine
N,ammonia
CO,methanol
C,methane
CC,ethane
CCC,propane
CCCC,butane
CCCCC,pentane
CCCCCC,hexane
CCCCCCC,heptane
CCCCCCCC,octane
CCCCCCCCC,nonane
CCCCCCCCCC,decane
CCCCCCCCCCC,undecane
CCCCCCCCCCCC,dodecane
CCCCCCCCCCCCC,tridecane
CCCCCCCCCCCCCC,tetradecane
CCCCCCCCCCCCCCC,pentadecane
CCCCCCCCCCCCCCCC,hexadecane
CCCCCCCCCCCCCCCCC,heptadecane
CCCCCCCCCCCCCCCCCC,octadecane
CCCCCCCCCCCCCCCCCCC,nonadecane
CCCCCCCCCCCCCCCCCCCC,eicosane
CCCO,propan-1-ol
CCCCO,butan-1-ol
CCCCCO,pentan-1-ol
CCCCCCO,hexan-1-ol
CCCCCCCO,heptan-1-ol
CCCCCCCCO,octan-1-ol
CCCCCCCCCO,nonan-1-ol
CCCCCCCCCCO,decan-1-ol
CCCCCCCCCCCO,undecan-1-ol
CCCCCCCCCCCCO,dodecan-1-ol
CCCCCCCCCCCCCO,tridecan-1-ol
CCCCCCCCCCCCCCO,tetradecan-1-ol
CCCCCCCCCCCCCCCO,pentadecan-1-ol
CCCCCCCCCCCCCCCCO,hexadecan-1-ol
CN,methan-1-amine
CCN,ethan-1-amine
CCCN,propan-1-amine
CCCCN,butan-1-amine
CCCCCN,pentan-1-amine
CCCCCCN,hexan-1-amine
CCCCCCCN,heptan-1-amine
CCCCCCCCN,octan-1-amine
CCCCCCCCCN,nonan-1-amine
CCCCCCCCCCN,decan-1-amine
CCCCCCCCCCCN,undecan-1-amine
CCCCCCCCCCCCN,dodecan-1-amine
CCCCCCCCCCCCCN,tridecan-1-amine
CCCCCCCCCCCCCCN,tetradecan-1-amine
CCCCCCCCCCCCCCCN,pentadecan-1-amine
CCCCCCCCCCCCCCCCN,hexadecan-1-amine
O=CO,formic acid
CC(=O)O,acetic acid
CCC(=O)O,propionic acid
CCCC(=O)O,butyric acid
CCCCC(=O)O,valeric acid
CCCCCC(=O)O,caproic acid
CCCCCCC(=O)O,heptanoic acid
CCCCCCCC(=O)O,octanoic acid
CCCCCCCCC(=O)O,nonanoic acid
CCCCCCCCCC(=O)O,decanoic acid
CCCCCCCCCCC(=O)O,undecanoic acid
CCCCCCCCCCCC(=O)O,dodecanoic acid
CCCCCCCCCCCCC(=O)O,tridecanoic acid
CCCCCCCCCCCCCC(=O)O,tetradecanoic acid
CCCCCCCCCCCCCCC(=O)O,pentadecanoic acid
CCCCCCCCCCCCCCCC(=O)O,hexadecanoic acid
C=O,formaldehyde (methanal)
CC=O,acetaldehyde (ethanal)
CCC=O,propanal
CCCC=O,butanal
CCCCC=O,pentanal
CCCCCC=O,hexanal
CCCCCCC=O,heptanal
CCCCCCCC=O,octanal
CCCCCCCCC=O,nonanal
CCCCCCCCCC=O,decanal
CCCCCCCCCCC=O,undecanal
CCCCCCCCCCCC=O,dodecanal
CCCCCCCCCCCCC=O,tridecanal
CCCCCCCCCCCCCC=O,tetradecanal
CCCCCCCCCCCCCCC=O,pentadecanal
CCCCCCCCCCCCCCCC=O,hexadecanal
C#N,hydrogen cyanide
CC#N,acetonitrile
CCC#N,propionitrile
CCCC#N,butanenitrile
CCCCC#N,pentanenitrile
CCCCCC#N,hexanenitrile
CCCCCCC#N,heptanenitrile
CCCCCCCC#N,octanenitrile
CCCCCCCCC#N,nonanenitrile
CCCCCCCCCC#N,decanenitrile
CCCCCCCCCCC#N,undecanenitrile
CCCCCCCCCCCC#N,dodecanenitrile
CCCCCCCCCCCCC#N,tridecanenitrile
CCCCCCCCCCCCCC#N,tetradecanenitrile
CCCCCCCCCCCCCCC#N,pentadecanenitrile
CCCCCCCCCCCCCCCC#N,hexadecanenitrile
CF,fluoromethane
CCl,chloromethane
CBr,bromomethane
CI,iodomethane
CCF,fluoroethane
CCBr,bromoethane
CCI,iodoethane
CCCF,fluoropropane
CCCCl,chloropropane
CCCBr,bromopropane
CCCI,iodopropane
CCCCF,fluorobutane
CCCCCl,chlorobutane
CCCCBr,bromobutane
CCCCI,iodobutane
CCCCCF,fluoropentane
CCCCCCl,chloropentane
CCCCCBr,bromopentane
CCCCCI,iodopentane
CCCCCCF,fluorohexane
CCCCCCCl,chlorohexane
CCCCCCBr,bromohexane
CCCCCCI,iodohexane
CCCCCCCF,fluoroheptane
CCCCCCCCl,chloroheptane
CCCCCCCBr,bromoheptane
CCCCCCCI,iodoheptane
CCCCCCCCF,fluorooctane
CCCCCCCCCl,chlorooctane
CCCCCCCCBr,bromooctane
CCCCCCCCI,iodooctane
CCCCCCCCCF,fluorononane
CCCCCCCCCCl,chlorononane
CCCCCCCCCBr,bromononane
CCCCCCCCCI,iodononane
CCCCCCCCCCF,fluorodecane
CCCCCCCCCCCl,chlorodecane
CCCCCCCCCCBr,bromodecane
CCCCCCCCCCI,iododecane
CCCCCCCCCCCF,fluoroundecane
CCCCCCCCCCCCl,chloroundecane
